	class_reichweite	class_langstrecke	class_stauraum	class_sitzplaetze_4	class_tag_tag1
porsche-taycan-turbo-s-cross-turismo	1	1	1	1	0
porsche-taycan-turbo-s-cross-turismo	1	1	1	1	0
porsche-taycan-turbo-s-cross-turismo	1	1	1	1	0
renault-megane-e-tech-electric-ev40-130hp	1	1	1	1	0
renault-megane-e-tech-electric-ev40-130hp	1	1	1	1	0
Renault-twingo-electric-vibes	0	0	0	1	0
Renault-Zoe-ZE-40-R110	1	1	1	1	0
Renault-Zoe-ZE-50-R110	1	1	1	1	0
Renault-Zoe-ZE-50-R135	1	1	1	1	0
Renault-Zoe-ZE-50-R135	1	1	1	1	0
Seat-Mii-electric-Standard	1	0	1	1	0
Skoda-Citigo-e-iV-Standard	1	0	1	1	0
skoda-enyaq-coupe-iv-rs	1	1	1	1	0
skoda-enyaq-coupe-iv-rs	1	1	1	1	0
skoda-enyaq-coupe-iv-rs	1	1	1	1	0
skoda-enyaq-coupe-iv-rs	1	1	1	1	0
skoda-enyaq-iv-50	1	1	1	1	0
skoda-enyaq-iv-50	1	1	1	1	0
skoda-enyaq-iv-60	1	1	1	1	0
skoda-enyaq-iv-60	1	1	1	1	0
skoda-enyaq-iv-80	1	1	1	1	0
skoda-enyaq-iv-80	1	1	1	1	0
skoda-enyaq-iv-80	1	1	1	1	0
skoda-enyaq-iv-80x	1	1	1	1	0
skoda-enyaq-iv-80x	1	1	1	1	0
skoda-enyaq-iv-80x	1	1	1	1	0
Smart-EQ-forfour	0	0	0	1	0
Smart-EQ-fortwo-Cabrio	0	0	1	0	0
Smart-EQ-fortwo-coupe	0	1	1	0	0
standard-range-single-motor-2022	1	1	1	1	0
standard-range-single-motor-2022	1	1	1	1	0
standard-range-single-motor-2022	1	1	1	1	0
tesla-model-3-hinterradantrieb	1	1	1	1	0
tesla-model-3-hinterradantrieb	1	1	1	1	0
Tesla-Model-3-Maximale-Reichweite	1	1	1	1	0
Tesla-Model-3-Maximale-Reichweite	1	1	1	1	0
Tesla-Model-3-Maximale-Reichweite	1	1	1	1	0
Tesla-Model-3-Performance	1	1	1	1	0
Tesla-Model-3-Performance	1	1	1	1	0
Tesla-Model-3-Performance	1	1	1	1	0
Tesla-Model-3-Standard-Reichweite-Plus	1	1	1	1	0
Tesla-Model-3-Standard-Reichweite-Plus	1	1	1	1	0
Tesla-Model-S-Maximale-Reichweite	1	1	1	1	0
Tesla-Model-S-Maximale-Reichweite	1	1	1	1	0
Tesla-Model-S-Maximale-Reichweite	1	1	1	1	0
Tesla-Model-S-Performance	1	1	1	1	0
Tesla-Model-S-Performance	1	1	1	1	0
Tesla-Model-S-Performance	1	1	1	1	0
tesla-model-s-plaid	1	1	1	1	0
tesla-model-s-plaid	1	1	1	1	0
tesla-model-s-plaid	1	1	1	1	0
tesla-model-s-plaid-plus	1	1	1	1	0
tesla-model-s-plaid-plus	1	1	1	1	0
tesla-model-s-plaid-plus	1	1	1	1	0
Tesla-Model-X-Maximale-Reichweite	1	1	1	0	0
Tesla-Model-X-Maximale-Reichweite	1	1	1	0	0
Tesla-Model-X-Maximale-Reichweite	1	1	1	0	0
Tesla-Model-X-Maximale-Reichweite	1	1	1	0	0
Tesla-Model-X-Maximale-Reichweite	1	1	1	0	0
Tesla-Model-X-Performance	1	1	1	0	0
Tesla-Model-X-Performance	1	1	1	0	0
Tesla-Model-X-Performance	1	1	1	0	0
Tesla-Model-X-Performance	1	1	1	0	0
Tesla-Model-X-Performance	1	1	1	0	0
tesla-model-x-plaid	1	1	1	0	0
tesla-model-x-plaid	1	1	1	0	0
tesla-model-x-plaid	1	1	1	0	0
tesla-model-x-plaid	1	1	1	0	0
tesla-model-x-plaid	1	1	1	0	0
